id,year,month,day,hour,minute,second,Humidity,Temperature,Water Level
0,2019,10,20,16,58,35,53.0,27.0,0.0
1,2019,10,20,16,58,37,53.0,27.0,0.0
2,2019,10,20,16,58,39,53.0,27.0,0.0
3,2019,10,20,16,58,41,53.0,27.0,0.0
4,2019,10,20,16,58,43,53.0,27.0,0.0
5,2019,10,20,16,58,45,53.0,27.0,0.0
6,2019,10,20,16,58,47,53.0,27.0,0.0
7,2019,10,20,16,58,49,53.0,27.0,0.0
8,2019,10,20,16,58,51,53.0,27.0,0.0
9,2019,10,20,16,58,53,53.0,27.0,0.0
10,2019,10,20,16,58,55,53.0,27.0,0.0
11,2019,10,20,16,58,57,53.0,27.0,0.0
12,2019,10,20,16,58,59,53.0,27.0,0.0
13,2019,10,20,16,59,1,53.0,27.0,0.0
14,2019,10,20,16,59,3,53.0,27.0,0.0
15,2019,10,20,16,59,5,53.0,27.0,0.0
16,2019,10,20,16,59,7,53.0,27.0,0.0
17,2019,10,20,16,59,9,53.0,27.0,8.0
18,2019,10,20,16,59,11,53.0,27.0,16.0
19,2019,10,20,16,59,13,53.0,27.0,25.0
20,2019,10,20,16,59,15,53.0,27.0,20.0
21,2019,10,20,16,59,17,53.0,27.0,31.0
22,2019,10,20,16,59,19,53.0,27.0,26.0
23,2019,10,20,16,59,21,53.0,27.0,35.0
24,2019,10,20,16,59,23,53.0,27.0,40.0
25,2019,10,20,16,59,25,53.0,27.0,39.0
26,2019,10,20,16,59,27,53.0,27.0,40.0
27,2019,10,20,16,59,29,53.0,27.0,44.0
28,2019,10,20,16,59,31,54.0,27.0,45.0
29,2019,10,20,16,59,33,54.0,27.0,46.0
30,2019,10,20,16,59,35,54.0,27.0,34.0
31,2019,10,20,16,59,37,54.0,27.0,41.0
32,2019,10,20,16,59,39,54.0,27.0,44.0
33,2019,10,20,16,59,41,54.0,27.0,40.0
34,2019,10,20,16,59,43,54.0,27.0,8.0
35,2019,10,20,16,59,45,54.0,27.0,0.0
36,2019,10,20,16,59,47,53.0,27.0,0.0
37,2019,10,20,16,59,49,53.0,27.0,0.0
38,2019,10,20,16,59,52,53.0,27.0,0.0
39,2019,10,20,16,59,54,53.0,27.0,0.0
40,2019,10,20,16,59,56,53.0,27.0,0.0
41,2019,10,20,16,59,58,54.0,27.0,0.0
42,2019,10,20,17,0,0,54.0,27.0,0.0
43,2019,10,20,17,0,2,54.0,27.0,0.0
44,2019,10,20,17,0,4,54.0,27.0,0.0
45,2019,10,20,17,0,6,54.0,27.0,0.0
46,2019,10,20,17,0,8,54.0,27.0,0.0
47,2019,10,20,17,0,10,54.0,27.0,0.0
48,2019,10,20,17,0,12,54.0,27.0,0.0
49,2019,10,20,17,0,14,54.0,27.0,0.0
50,2019,10,20,17,0,16,54.0,27.0,0.0
51,2019,10,20,17,0,18,54.0,27.0,0.0
52,2019,10,20,17,0,20,54.0,27.0,0.0
53,2019,10,20,17,0,22,54.0,27.0,0.0
54,2019,10,20,17,0,24,54.0,27.0,0.0
55,2019,10,20,17,0,26,54.0,27.0,15.0
56,2019,10,20,17,0,28,54.0,27.0,28.0
57,2019,10,20,17,0,30,54.0,27.0,0.0
58,2019,10,20,17,0,32,54.0,27.0,0.0
59,2019,10,20,17,0,34,54.0,27.0,0.0
60,2019,10,20,17,0,36,54.0,27.0,0.0
61,2019,10,20,17,0,38,54.0,27.0,0.0
62,2019,10,20,17,0,40,54.0,27.0,0.0
63,2019,10,20,17,0,42,54.0,27.0,0.0
64,2019,10,20,17,0,44,54.0,27.0,0.0
65,2019,10,20,17,0,46,54.0,27.0,0.0
66,2019,10,20,17,0,48,54.0,27.0,0.0
67,2019,10,20,17,0,50,54.0,27.0,0.0
68,2019,10,20,17,0,52,54.0,27.0,0.0
69,2019,10,20,17,0,54,54.0,27.0,0.0
70,2019,10,20,17,0,56,54.0,27.0,0.0
71,2019,10,20,17,0,58,54.0,27.0,0.0
72,2019,10,20,17,1,0,54.0,27.0,0.0
73,2019,10,20,17,1,2,54.0,27.0,0.0
74,2019,10,20,17,1,4,54.0,27.0,0.0
75,2019,10,20,17,1,6,54.0,27.0,0.0
76,2019,10,20,17,1,8,54.0,27.0,0.0
77,2019,10,20,17,1,10,54.0,27.0,0.0
78,2019,10,20,17,1,12,54.0,27.0,0.0
79,2019,10,20,17,1,14,53.0,27.0,0.0
80,2019,10,20,17,1,17,53.0,27.0,0.0
81,2019,10,20,17,1,19,53.0,27.0,0.0
82,2019,10,20,17,1,21,53.0,27.0,0.0
83,2019,10,20,17,1,23,53.0,27.0,0.0
84,2019,10,20,17,1,25,53.0,27.0,0.0
85,2019,10,20,17,1,27,53.0,27.0,0.0
86,2019,10,20,17,1,29,53.0,27.0,0.0
87,2019,10,20,17,1,31,53.0,27.0,0.0
88,2019,10,20,17,1,33,53.0,27.0,0.0
89,2019,10,20,17,1,35,53.0,27.0,0.0
90,2019,10,20,17,1,37,53.0,27.0,0.0
91,2019,10,20,17,1,39,52.0,27.0,0.0
92,2019,10,20,17,1,41,53.0,27.0,0.0
93,2019,10,20,17,1,43,52.0,27.0,0.0
94,2019,10,20,17,1,45,53.0,27.0,0.0
95,2019,10,20,17,1,47,52.0,27.0,0.0
96,2019,10,20,17,1,49,52.0,27.0,0.0
97,2019,10,20,17,1,51,52.0,27.0,0.0
98,2019,10,20,17,1,53,53.0,27.0,0.0
99,2019,10,20,17,1,55,53.0,27.0,0.0
100,2019,10,20,17,1,57,53.0,27.0,0.0
101,2019,10,20,17,1,59,53.0,27.0,0.0
102,2019,10,20,17,2,1,53.0,27.0,0.0
103,2019,10,20,17,2,3,53.0,27.0,0.0
104,2019,10,20,17,2,5,53.0,27.0,0.0
105,2019,10,20,17,2,7,53.0,27.0,0.0
106,2019,10,20,17,2,9,53.0,27.0,0.0
107,2019,10,20,17,2,11,53.0,27.0,0.0
108,2019,10,20,17,2,13,53.0,27.0,0.0
109,2019,10,20,17,2,15,53.0,27.0,0.0
110,2019,10,20,17,2,17,53.0,27.0,0.0
111,2019,10,20,17,2,19,53.0,27.0,0.0
112,2019,10,20,17,2,21,53.0,27.0,0.0
113,2019,10,20,17,2,23,53.0,27.0,0.0
114,2019,10,20,17,2,25,53.0,27.0,0.0
115,2019,10,20,17,2,27,53.0,27.0,0.0
116,2019,10,20,17,2,29,53.0,27.0,0.0
117,2019,10,20,17,2,31,53.0,27.0,0.0
118,2019,10,20,17,2,33,53.0,27.0,0.0
119,2019,10,20,17,2,35,53.0,27.0,0.0
120,2019,10,20,17,2,37,53.0,27.0,0.0
121,2019,10,20,17,2,39,53.0,27.0,0.0
122,2019,10,20,17,2,42,53.0,27.0,0.0
123,2019,10,20,17,2,44,53.0,27.0,0.0
124,2019,10,20,17,2,46,53.0,27.0,0.0
125,2019,10,20,17,2,48,53.0,27.0,0.0
126,2019,10,20,17,2,50,54.0,27.0,0.0
127,2019,10,20,17,2,52,54.0,27.0,0.0
128,2019,10,20,17,2,54,53.0,27.0,0.0
129,2019,10,20,17,2,56,54.0,27.0,0.0
130,2019,10,20,17,2,58,54.0,27.0,0.0
131,2019,10,20,17,3,0,54.0,27.0,0.0
132,2019,10,20,17,3,2,54.0,27.0,0.0
133,2019,10,20,17,3,4,54.0,27.0,0.0
134,2019,10,20,17,3,6,54.0,27.0,0.0
135,2019,10,20,17,3,8,54.0,27.0,0.0
136,2019,10,20,17,3,10,54.0,27.0,0.0
137,2019,10,20,17,3,12,54.0,27.0,0.0
138,2019,10,20,17,3,14,54.0,27.0,0.0
139,2019,10,20,17,3,16,54.0,27.0,0.0
140,2019,10,20,17,3,18,54.0,27.0,0.0
141,2019,10,20,17,3,20,54.0,27.0,0.0
142,2019,10,20,17,3,22,54.0,27.0,0.0
143,2019,10,20,17,3,24,54.0,27.0,0.0
144,2019,10,20,17,3,26,54.0,27.0,0.0
145,2019,10,20,17,3,28,54.0,27.0,0.0
146,2019,10,20,17,3,30,54.0,27.0,0.0
147,2019,10,20,17,3,32,54.0,27.0,0.0
148,2019,10,20,17,3,34,54.0,27.0,0.0
149,2019,10,20,17,3,36,54.0,27.0,0.0
150,2019,10,20,17,3,38,54.0,27.0,0.0
151,2019,10,20,17,3,40,54.0,27.0,0.0
152,2019,10,20,17,3,42,54.0,27.0,0.0
153,2019,10,20,17,3,44,54.0,27.0,0.0
154,2019,10,20,17,3,46,53.0,27.0,0.0
155,2019,10,20,17,3,48,53.0,27.0,0.0
156,2019,10,20,17,3,50,53.0,27.0,0.0
157,2019,10,20,17,3,52,53.0,27.0,0.0
158,2019,10,20,17,3,54,53.0,27.0,0.0
159,2019,10,20,17,3,56,53.0,27.0,0.0
160,2019,10,20,17,3,58,53.0,27.0,0.0
161,2019,10,20,17,4,0,53.0,27.0,0.0
162,2019,10,20,17,4,2,54.0,27.0,0.0
